APPL_NO,FORM,STRDADDRESS,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE,ZONING,PD_NO,SD_NO
200807116520,2,365 FULTON ST,0792,028,120,120,120,,N,,APARTMENTS,,NCT-3,5,6
201009201195,1,855 JAMESTOWN AV,4991,277,36,36,,,N,,,,RH-2,10,11
200710306825,2,2139 OFARRELL ST,1101,022,21,21,21,,N,,APARTMENTS,,RM-3,5,5
200809192140,2,420 29TH AV,1460,015,20,20,20,,N,,APARTMENTS,,RH-2,1,1
200505182747,2,121 09TH ST,3728,069,20,20,2,,N,,APARTMENTS,,SLR,4,6
200612139733,2,55 TRUMBULL ST,5868,006,18,18,2,,N,,APARTMENTS,,NC-2,12,11
201103282964,1,867 JAMESTOWN AV,4991,277,18,18,,,N,,APARTMENTS,,RH-2,10,11
201009201205,1,857 JAMESTOWN AV,4991,277,12,12,,,N,,APARTMENTS,06/29/2011 12:00:00 AM,RH-2,10,11
200512281131,2,101 EXECUTIVE PARK BL,4991,279,7,7,,,N,,APARTMENTS,02/09/2011 12:00:00 AM,C-2,10,11
200512281126,2,101 EXECUTIVE PARK BL,4991,279,6,6,,,N,,,,C-2,10,11
200512281138,2,101 EXECUTIVE PARK BL,4991,241,6,6,,,N,,APARTMENTS,02/09/2011 12:00:00 AM,C-2,10,11
200707308102,1,19 TEHAMA ST,3736,079,4,4,,,N,,APARTMENTS,,C-3-O(SD),9,6
200906190864,2,149 DORE ST,3519,059,4,4,,,N,,APARTMENTS,,SLR,9,6
200812299248,1,829 CORBETT AV,2778,016,4,4,,,N,,APARTMENTS,,RM-1,7,8
201110036004,8,960 HARRISON ST,3753,021,4,4,,,AC,OFFICE,APARTMENTS,,MUR,9,6
200402247019,3,2900 FULTON ST,1648,017,4,4,,,New,OFFICE,APARTMENTS,,NC-1,1,1
201008319983,8,1000 MASON ST,0223,008,51,3,,,A,APARTMENTS,APARTMENTS,,RM-4,3,3
200703277415,2,1011 TENNESSEE ST,4108,003G,3,3,,,N,,APARTMENTS,,UMU,9,10
200703095864,2,2603 HYDE ST,0026,006,3,3,,,N,,APARTMENTS,,RH-3,3,2
200902232592,2,259 DORLAND ST,3580,035,3,3,,,N,,APARTMENTS,,RM-1,7,8
200508220869,2,3448 BALBOA ST,1578,014F,3,3,,,N,,APARTMENTS,,NC-2,1,1
201107119914,8,261 DORLAND ST,3580,035,3,3,,,A,,APARTMENTS,,RM-1,7,8
200603156751,3,590 CASTRO ST,2695,016,4,2,,,CH,2 FAMILY DWELLING,APARTMENTS,,CASTRO,7,8
201101067940,8,700 VERMONT ST,4075,001,3,2,,,A,1 FAMILY DWELLING,APARTMENTS,,RH-2,9,10
200907243426,3,1844 TURK ST,1129,011A,3,2,,,A,1 FAMILY DWELLING,APARTMENTS,,RM-3,5,5
201012297565,3,1729 STOCKTON ST,0089,007,3,2,,,A,APARTMENTS,APARTMENTS,,NO BEACH,3,3
200812017531,2,1530 YORK ST,5514,004,2,2,,,N,,2 FAMILY DWELLING,,RH-2,11,9
200201096579,2,3207 SAN BRUNO AV,5473,017,2,2,,,N,,2 FAMILY DWELLING,,RM-1,12,10
200201096589,2,3217 SAN BRUNO AV,5473,018,2,2,,,N,,2 FAMILY DWELLING,,RM-1,12,10
200201096581,2,3229 SAN BRUNO AV,5473,019,2,2,,,N,,2 FAMILY DWELLING,,RM-1,12,10
200201096587,2,3237 SAN BRUNO AV,5473,020,2,2,,,N,,2 FAMILY DWELLING,,RM-1,12,10
200705010117,2,1030 MISSISSIPPI ST,4224,017,2,2,,,N,,2 FAMILY DWELLING,,RH-3,9,10
200910280084,2,580 DIAMOND ST,2772,016,2,2,,,N,,2 FAMILY DWELLING,,RH-2,7,8
200707187166,2,324 CORTLAND AV,5677,022,2,2,,,N,,2 FAMILY DWELLING,,NC-2,12,9
200804180093,2,317 CORTLAND AV,5667,015,2,2,,,N,,2 FAMILY DWELLING,,NC-2,11,9
200805162250,2,457 BUENA VISTA EAST AV,2607,270,2,2,,,N,,2 FAMILY DWELLING,,RH-3,6,8
200512200776,2,519 33RD AV,1511,002,2,2,,,N,,2 FAMILY DWELLING,,RH-2,1,1
200310097072,2,1200 19TH ST,4038,009,2,2,,,N,,2 FAMILY DWELLING,,RH-2,9,10
