STDADDRESS,PRJ_NAME,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,ADD_TYPE,EXISTUSE,PROPUSE,ACTDATE,ZONING,PD_NO,SD_NO,PLANAREA
435 CHINA BASIN ST,Madrone,8720,1,319,319,27,MOD,,,APARTMENTS,,MB-RA,9,6,
2225 03RD ST,Potrero Launch,4058,10,196,196,39,VLI/LI,,OFFICE,APARTMENTS,27-Nov-12,UMU,9,10,Central Waterfront
220 GOLDEN GATE AV,Kelly Cullen Community House,345,32,174,174,174,EVLI,,OFFICE,APARTMENTS,21-Dec-12,C-3-G,4,6,
1150 OCEAN AV,Avalon at Ocean,3180,3,173,173,26,MOD,,,APARTMENTS,29-May-12,NC-2,13,7,Balboa Park
178 TOWNSEND ST,Arc Light Co. / 21 Clarence Pl,3788,12,94,94,19,LI,,OFFICE,APARTMENTS,28-Dec-12,SLI,9,6,East SoMa
150 OTIS ST,Veterans Commons,3513,8,76,76,76,EVLI,,JAIL,APARTMENTS,10/18/2012,P,8,6,Market Octavia
299 VALENCIA ST,,3532,14,40,40,4,MOD,,,APARTMENTS,15-Jun-12,NCT-3,8,6,Market Octavia
1345 TURK ST,,756,1,32,32,32,LI,,,APARTMENTS,23-May-12,P/NC-3,5,5,
1301 INDIANA ST,Millwheel South,4228,10,32,32,4,MOD,,,APARTMENTS,12-Jun-12,PDR-1-G,9,10,Central Waterfront
1840 WASHINGTON ST,,599,8,26,26,,,,,APARTMENTS,27-Feb-12,RC-4,2,2,
1049 HOWARD ST,,3731,74,55,25,25,VLI,,APARTMENTS,APARTMENTS,15-May-12,MUG,9,6,East SoMa
2020 ELLIS ST,,1101,48,21,21,,,,,,10/10/12,NC-2,5,5,
350 GOLDEN GATE AV,Madonna Residence,346,5,70,19,19,VLI,,APARTMENTS,APARTMENTS,20-Nov-12,C-3-G,4,6,
3500 19TH ST,,3588,12,17,17,,,,,APARTMENTS,12-Oct-12,Valencia St NCT,8,8,Mission
411 VALENCIA ST,,3554,27,16,16,2,MOD,,,APARTMENTS,26-Nov-12,Valencia St NCT,8,6,Mission
750 SECOND ST,,3794,,14,14,,,,,APARTMENTS,26-Nov-12,MUO,9,6,East Soma
52 MIDDLE POINT RD,Hunter's View,4624,4,13,13,13,VLI,,,APARTMENTS,14-Dec-12,RM-1,10,10,Bayview
2829 CALIFORNIA ST,,1028,28,13,13,2,MOD,,,APARTMENTS,30-Nov-12,NC-2,5,5,
11 WEST POINT RD,Hunter's View,4624,4,11,11,11,VLI,,,APARTMENTS,14-Dec-12,RM-1,10,10,Bayview
574 NATOMA ST,,3726,75,11,11,2,MOD,,"WAREHOUSE,NO FRNITUR",APARTMENTS,12-Feb-12,RED,9,6,East Soma
700 VALENCIA ST,,3588,1,9,9,,,,,APARTMENTS,29-Mar-12,Valencia St NCT,8,8,Mission
421 ARGUELLO BL,,1433,3,8,8,,,,MANUFACTURING,APARTMENTS,26-Sep-12,RM-2,1,1,
1596 CHURCH ST,,6601,6,6,6,,,,CHURCH,APARTMENTS,30-Oct-12,NC-1,7,8,
248 OCEAN AV,,3211,9,5,5,1,LI,,,APARTMENTS,24-Jul-12,NC-1,12,11,
960 HARRISON ST,,3753,21,4,4,,,,OFFICE,APARTMENTS,09-Nov-12,MUR,9,6,East SoMa
19 TEHAMA ST,,3736,79,4,4,,,,,APARTMENTS,06-Jan-12,C-3-O(SD),9,6,
1268 LOMBARD ST,,500,15,4,4,,,,VACANT LOT,APARTMENTS,24-Apr-12,RH-3,3,2,
2000 MCALLISTER ST,,1160,5,3,3,,,,,APARTMENTS,05-Jun-12,RH-3,5,5,
2374 FOLSOM ST,,3594,9,4,2,,,,2 FAMILY DWELLING,APARTMENTS,08-May-12,RM-1,8,9,Mission
1629 DOLORES ST,,6634,15,3,3,,,,,APARTMENTS,28-Mar-12,RH-3,7,8,
1250 LEAVENWORTH ST,,220,27,3,3,,,,,APARTMENTS,23-Mar-12,RM-3,3,3,
209 09TH ST,,3729,81,3,3,,,,RETAIL SALES,APARTMENTS,02-Jul-12,SLR,9,6,Western SoMa
179 SAN CARLOS ST,,3589,23,3,3,,,,,APARTMENTS,27-Apr-12,RTO-Mission,8,9,Mission
1248 LEAVENWORTH ST,,220,27,3,3,,,,,APARTMENTS,23-Mar-12,RM-3,3,3,
