STDADDRESS,PRJ_NAME,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE, Zoning,PD_NO,SD_NO,PLANAREA
1190 MISSION ST,,3702,52,-418,-418,,LI,Demolition,,,7/30/2013,RH-1 (D),12,9,
60 WEST POINT RD,,4624,9,54,54,54,VLI,New Construction,,APARTMENTS,7/18/2013,RH-2,14,5,
374 05TH ST,,3753,8,44,44,44,LI,Conversion,TOURIST HOTEL/MOTEL,APARTMENTS,10/2/2013,RH-2,14,5,
1461 PINE ST,,668,13,35,35,0,,New Construction,,APARTMENTS,3/14/2013,RH-1,12,9,
48 HARRIET ST,,3731,102,23,23,0,,New Construction,,APARTMENTS,2/20/2013,RH-1,11,9,
1190 MISSION ST,Trinity Place,3702,52,418,418,63,LI,New Construction,,,10/3/2013,RH-1 (D),12,9,
333 HARRISON ST,Rincon Green,3766,9,326,326,49,LI,New Construction,,APARTMENTS,2/27/2013,RM-4,3,3,
1407 MARKET ST,Nema,3507,41,317,317,38,LI,New Construction,,,,RH-2,9,10,Eastern Neighborhoods
1880 MISSION ST,Vara,3547,29,202,202,40,LI,New Construction,,APARTMENTS,9/30/2013,RH-1,12,11,
25 ESSEX ST,Rene Cazenave Apartments,3749,64,120,120,120,VLI,New Construction,,APARTMENTS,11/22/2013,RM-1,10,10,Bayview
1844 MARKET ST,Venn Apartments,871,16,113,113,14,LI,New Construction,,,,RM-2,6,5,
1285 SUTTER ST,Etta Apartments,691,8,107,107,0,,New Construction,,APARTMENTS,9/30/2013,RH-1,9,6,West Soma
38 DOLORES ST,38 Dolores,3535,1,81,81,0,,New Construction,,APARTMENTS,11/20/2013,RH-1,13,11,
701 GOLDEN GATE AV,Helen Rogers Senior Community,768,13,100,100,100,VLI,New Construction,,APARTMENTS,2/27/2013,RM-2,6,5,
1075 LE CONTE AV,Bayview Hill Gardens,5476,9,73,73,73,VLI,New Construction,,APARTMENTS,11/18/2013,C-3-G,4,6,Mid-Market
474 NATOMA,Natoma Court Bridge Housing,3725,101,60,60,60,VLI,New Construction,,APARTMENTS,,C-3-S,4,6,South of Market
