STDADDRESS,PRJ_NAME,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE, Zoning,PD_NO,SD_NO,PLANAREA,LAT_LNG,ZIP_CODE,ZILLOW_ID,RENT_ESTIMATE,HOUSE_SIZE
1190 MISSION ST,,3702,52,-418,-418,,LI,Demolition,,,7/30/2013,RH-1 (D),12,9,,"[37.77791029999999, -122.4129441]",94103,2098939760,,
60 WEST POINT RD,,4624,9,54,54,54,VLI,New Construction,,APARTMENTS,7/18/2013,RH-2,14,5,,"[37.7362645, -122.3808715]",94124,,,
374 05TH ST,,3753,8,44,44,44,LI,Conversion,TOURIST HOTEL/MOTEL,APARTMENTS,10/2/2013,RH-2,14,5,,"[37.7792172, -122.4024502]",94107,,,
1461 PINE ST,,668,13,35,35,0,,New Construction,,APARTMENTS,3/14/2013,RH-1,12,9,,"[37.7895147, -122.4197101]",94109,,,
48 HARRIET ST,,3731,102,23,23,0,,New Construction,,APARTMENTS,2/20/2013,RH-1,11,9,,"[37.778683, -122.4069311]",94103,,,
1190 MISSION ST,Trinity Place,3702,52,418,418,63,LI,New Construction,,,10/3/2013,RH-1 (D),12,9,,"[37.77791029999999, -122.4129441]",94103,2099561181,,
333 HARRISON ST,Rincon Green,3766,9,326,326,49,LI,New Construction,,APARTMENTS,2/27/2013,RM-4,3,3,,"[37.7863555, -122.3911989]",94105,2106613986,4000,
1407 MARKET ST,Nema,3507,41,317,317,38,LI,New Construction,,,,RH-2,9,10,Eastern Neighborhoods,"[37.7764447, -122.417633]",94103,,,
1880 MISSION ST,Vara,3547,29,202,202,40,LI,New Construction,,APARTMENTS,9/30/2013,RH-1,12,11,,"[37.7668621, -122.4200395]",94103,,,
25 ESSEX ST,Rene Cazenave Apartments,3749,64,120,120,120,VLI,New Construction,,APARTMENTS,11/22/2013,RM-1,10,10,Bayview,"[37.7864382, -122.3951884]",94105,,,
1844 MARKET ST,Venn Apartments,871,16,113,113,14,LI,New Construction,,,,RM-2,6,5,,"[37.7714989, -122.4244282]",94102,2131240547,,682
1285 SUTTER ST,Etta Apartments,691,8,107,107,0,,New Construction,,APARTMENTS,9/30/2013,RH-1,9,6,West Soma,"[37.7873712, -122.421198]",94109,2111273615,,706
38 DOLORES ST,38 Dolores,3535,1,81,81,0,,New Construction,,APARTMENTS,11/20/2013,RH-1,13,11,,"[37.7684802, -122.4270955]",94103,2110376499,7150,1330
701 GOLDEN GATE AV,Helen Rogers Senior Community,768,13,100,100,100,VLI,New Construction,,APARTMENTS,2/27/2013,RM-2,6,5,,"[37.7805432, -122.422395]",94102,,,
1075 LE CONTE AV,Bayview Hill Gardens,5476,9,73,73,73,VLI,New Construction,,APARTMENTS,11/18/2013,C-3-G,4,6,Mid-Market,"[37.7187866, -122.3981062]",94124,,,
474 NATOMA,Natoma Court Bridge Housing,3725,101,60,60,60,VLI,New Construction,,APARTMENTS,,C-3-S,4,6,South of Market,"[37.7805722, -122.4074479]",94103,,,
401 GROVE ST,300 Ivy,808,36,63,63,9,MOD,New Construction,,,,RH-2,15,4,,"[37.777492, -122.42356]",94102,,,
1591 PACIFIC AV,Pacific Terrace,596,24,41,41,0,,New Construction,,APARTMENTS,6/19/2013,RH-2,9,10,Eastern Neighborhoods,"[37.7949832, -122.4212511]",94109,,,
1301 DIVISADERO ST,,1101,48,21,21,,,New Construction,VACANT LOT,APARTMENTS,8/19/2013,RM-1,2,2,,"[37.7815238, -122.4391614]",94115,15083974,6000,1140
2652 HARRISON ST,,3639,2,20,20,0,,New Construction,,APARTMENTS,10/18/2013,RH-3,3,2,,"[37.755126, -122.4124932]",94110,122246094,,7250
1816 EDDY ST,,1127,64,19,19,,,Conversion,VACANT LOT,APARTMENTS,5/15/2013,RC-4,4,3,Van Ness Corridor,"[37.780968, -122.437692]",94115,,,
616 20TH ST,,4058,8,16,16,2,MOD,New Construction,,APARTMENTS,11/21/2013,RH-2,14,5,,"[37.760768, -122.387975]",94107,123192378,3995,760
2829 CALIFORNIA ST,,1028,28,13,13,2,MOD,New Construction,,APARTMENTS,2/6/2013,RH-1,12,11,,"[37.7876995, -122.4409552]",94115,2129210291,6700,1692
537 NATOMA ST,,3726,47,13,13,1,MOD,New Construction,,APARTMENTS,4/15/2013,RH-2,7,8,,"[37.779383, -122.408459]",94103,2110805253,4620,850
61 WEST POINT RD,,4624,4,13,13,13,VLI,New Construction,,APARTMENTS,4/9/2013,UMU,8,9,Eastern Neighborhoods,"[37.7362508, -122.3808288]",94124,,,
200 DOLORES ST,,3557,63,10,10,2,MOD,New Construction,,APARTMENTS,9/13/2013,UMU,8,9,Eastern Neighborhoods,"[37.766085, -122.4269081]",94103,2102543349,4495,
3135 24TH ST,,6520,36,9,9,,,Conversion,AUTO REPAIRS,APARTMENTS,9/26/2013,UMU,8,9,Eastern Neighborhoods,"[37.75224619999999, -122.4147536]",94110,2130214082,5500,
1945 HYDE ST,,123,2,7,7,0,,Conversion,PRKNG GARAGE/PUBLIC,APARTMENTS,11/26/2013,RM-1,12,11,,"[37.7988349, -122.4192567]",94109,122063787,14202,1948
