APPL_NO,APP_ID,FORM,ST_NUM,ST_NAME,ST_TYPE,PRJ_NAME,STDADD,BLOCK,LOT,UNITS,NETUNITS, AFFHSG ,TARGET,TYPE,DESCRIPT,EXISTUSE,PROPUSE,ACTION,ACTDATE,STAFF,BLKLOT,GEN_ZONE,ZONING,PD,PLANAREA,ANA_NBHD,LAT_LNG
201105236553,748144,8,1000,MASON,ST,,1000 MASON ST,0223,008,51,3, -   ,,,Install auto fire sprinkler to protect addiitional units at lower and basement. REFERENCE TO APP#201008319983 TO ADD 3 RESIDENTIAL UNITS W/IN RESIDENCE.,APARTMENTS,APARTMENTS,COMPLETE,27-Mar-14,,0223008,"Residential, House and Mixed",RM-4,3,,Nob Hill,"[37.7930742, -122.4107104]"
201406188814,847144,8,1000,POWELL,ST,,1000 POWELL ST,0211,015,48,1, -   ,,,CORRECT RECORD TO INCORPORATE SUPERINTENDANTS UNIT ON 1ST FLOOR,APARTMENTS,APARTMENTS,COMPLETE,24-Jun-14,,0211015,Commercial,RC-4,3,,Chinatown,"[37.7941048, -122.4093554]"
201208288439,786469,3,101,DUBOCE,AV,,101 DUBOCE AV,3533,001,7,2, 2 ,SEC,Homeowner,4TH FLOOR VERTICAL ADDITION OF 2 DWELLING UNITS.,APARTMENTS,APARTMENTS,COMPLETE,07-Aug-14,RSUCRE,3533001,Neighborhood Commercial Transit,NCT-3,8,Market and Octavia,Mission,"[37.7697292, -122.4227008]"
201408143788,853085,8,1017,CAPITOL,AV,,1017 CAPITOL AV,6985,010,1,-1, -   ,,,"LEGALIZE ONE BEDROOM, ONE HOME OFFICE, FAMILY ROOM, REMOVE ILLEGAL KITCHEN, CONVERT FULL BATHROOM TO HALF BATHROOM. ALL WORK AT GROUND FLOOR.",1 FAMILY DWELLING,1 FAMILY DWELLING,CFC ISSUED,12-Sep-14,MCORRETT,6985010,"Residential, House and Mixed",RH-1,13,,Oceanview/Merced/Ingleside,"[37.720415, -122.459515]"
201404102974,840139,8,1028,WISCONSIN,ST,,1028 WISCONSIN ST,4219,003,2,2, -   ,,,TO OBTAIN FINAL INSPECTION FOR WORK APPROVED UNDER PA 201204037474; ALL WORK IS COMPLETE,,2 FAMILY DWELLING,CFC ISSUED,06-Nov-14,,4219003,"Residential, House and Mixed",RH-2,9,Eastern Neighborhoods w/Valencia,Potrero Hill,"[37.754259, -122.398962]"
201312305282,830937,8,1066,JAMESTOWN,AV,,1066 JAMESTOWN AV,4969,021,1,-1, -   ,,,COMPLY WITH NOV #201342751 DATED 12/19/13  TO DEMOLISH KITCHEN STOVE AND SINK AT GROUND FLOOR  AND BASEMENT LEVEL. LEGALIZE A BATH AT BASEMENT LEVEL.,1 FAMILY DWELLING,1 FAMILY DWELLING,CFC ISSUED,30-Jan-14,,4969021,"Residential, House and Mixed",RH-1,10,Bayview Hunters Point,Bayview Hunters Point,"[37.719381, -122.394629]"
201204168384,774457,1,1078,HAMPSHIRE,ST,,1078 HAMPSHIRE ST,4152,046,2,2, -   ,,,RECOMMERCEMENT AND CONCEPTION OF WORK APPROVED UNDER PA#200709193092,,2 FAMILY DWELLING,COMPLETE,27-Jan-14,,4152046,"Residential, House and Mixed",RH-2,8,Mission (EN),Mission,"[37.754872, -122.40776]"
200608290880,590959,1,1080,SUTTER,ST,Blanc,1080 SUTTER ST,0279,011,35,35, 4 ,MOD,Homeowner,"ERECT 11 STORIES, 35 DWELLING UNITS MIXED USE BUILDING.",,APARTMENTS,COMPLETE,02-Apr-14,AHOLLIST,0279011,Commercial,RC-4,4,,Nob Hill,"[37.78817919999999, -122.4179624]"
201307222394,815371,6,110,MIDDLE POINT,RD,,110 MIDDLE POINT RD,4624,031,-4,-4, -   ,,,"BLDG 22 - DEMOLISH 2-STORY, TYPE 5, RESIDENTIAL APARTMENT BUILDING.",APARTMENTS,,COMPLETE,30-Apr-14,MSNYDER,4624031,"Residential, House and Mixed",RM-1,10,Hunters View,Bayview Hunters Point,"[37.73633239999999, -122.3794569]"
201307222374,815349,6,112,WEST POINT,RD,,112 WEST POINT RD,4624,031,-4,-4, -   ,,,"BLDG 12 - DEMOLISH 2-STORY, TYPE 5, RESIDENTIAL APARTMENT BUILDING.",APARTMENTS,,COMPLETE,30-Apr-14,MSNYDER,4624031,"Residential, House and Mixed",RM-1,10,Hunters View,Bayview Hunters Point,"[37.7360598, -122.3808104]"
201207195186,782595,3,1146,CASTRO,ST,,1146 CASTRO ST,2804,006,1,-1, -   ,,,"RESIDENTIAL UNIT REMOVAL THROUGH MERGER. HORIZONTAL ADDITION (HEIGHT LESS THEN 10'-0"" ABOVE GROUND). INTERIOR RENOVATIONS & REMODEL.",2 FAMILY DWELLING,1 FAMILY DWELLING,COMPLETE,25-Jun-14,TWANG,2804006,"Residential, House and Mixed",RH-2,7,,Noe Valley,"[37.7522515, -122.4343565]"
201108041792,754470,1,1155,04TH,ST,,1155 04TH ST,8711,025,147,147, -   ,,,ERECT NEW 6 STORIES OF 147 UNITS CONDO BUILDING.,,APARTMENTS,COMPLETE,01-Oct-14,PRIESTMA,8711025,Redevelopment Agency,MB-RA,9,Mission Bay,Mission Bay,"[37.7732713, -122.3909647]"
